,org_number,name,construction_year,housing_coop_id
0,556024-1415,Fastighetsaktiebolaget Stiftstaden,,271444
1,702000-0035,BRF 1917 Års Bostadslotteri,1919.0,268958
2,702000-0282,BF Alfa upa,1912.0,77812
3,702000-0399,BRF Alviksgården 2,1944.0,79604
4,702000-0407,BRF Alviken nr 10 ,,275452
5,702000-0415,BRF Alviksgården,1945.0,78722
6,702000-0472,HSB BRF ANKARET 28 I STOCKHOLM,1952.0,83649
7,702000-0555,BF Ansgarius U.P.A.,1913.0,269289
8,702000-0787,BRF Arméfördelningen 2,1943.0,45970
9,702000-0795,BRF Artilleriberget 9 u p a,1937.0,268970
10,702000-0829,BRF Asken nr 12,,80404
11,702000-0837,BF nr 13 kvarteret Asken u.p.a.,,270068
12,702000-0902,BRF Astrea 4,1881.0,78779
13,702000-0928,BRF Astrea  3 ,1883.0,79425
14,702000-0936,HSB Ateljén BRF i Stockholm,1957.0,272639
15,702000-0944,BRF Atlantis,1954.0,56900
16,702000-0951,BRF Atlasmuren,1928.0,78736
17,702000-0969,BF Atlas N:r 2 U.p.a.,,68261
18,702000-0985,BRF Aurora i Vällingby,,275306
19,702000-1041,HSB BRF Axet i Stockholm,1938.0,83318
20,702000-1074,Brf Baggen N:o 18,1906.0,82891
21,702000-1090,BRF Balder 13,1910.0,269112
22,702000-1140,HSB BRF Bandhagen i Stockholm,1953.0,51194
23,702000-1157,BRF Banér,2015.0,45905
24,702000-1173,BRF Banvakten,,77732
25,702000-1256,BRF Beckasinen 13,1903.0,61369
26,702000-1397,BRF Berget  i Stockholm,1929.0,47135
27,702000-1413,BF Berghem,1906.0,272212
28,702000-1462,BRF Bergsgården,1913.0,57514
29,702000-1470,BRF Bergsund nr 1,1940.0,133849
30,702000-1496,BRF Bergslagen 4,1929.0,78852
31,702000-1603,BRF Bikupan,1946.0,273566
32,702000-1728,BF Birger Jarl UPA,,79332
33,702000-1736,BRF Birgersgården,1918.0,43363
34,702000-1744,BRF Birkagård,1905.0,79783
35,702000-1850,HSB:s BRF Björklången i Stockholm,1961.0,45390
36,702000-1884,BRF Björken nr 7,1943.0,49103
37,702000-1892,BRF Björken Nr 8,,55450
38,702000-1900,BRF Björken,1914.0,270375
39,702000-1967,BRF Blocket,1958.0,277587
40,702000-2049,BRF Blåklinten,1902.0,43898
41,702000-2056,BRF Blåklinten 2,1902.0,81083
42,702000-2064,BRF Blåkråkan 1 i Stockholm,1929.0,51148
43,702000-2114,BRF Bojen 8,1935.0,45208
44,702000-2205,BRF Bollskolan 5,1932.0,266566
45,702000-2254,BRF Boplatsen,1998.0,49973
46,702000-2304,BRF Borgen,1929.0,268148
47,702000-2361,BRF Boråsvägen n:ris 14-16,1942.0,269489
48,702000-2411,BF Haga upa,1929.0,81854
49,702000-2445,BRF Komedianten 3,1880.0,273234
50,702000-2452,Stockholms BF N:o 8 U.P.A.,,53267
51,702000-2460,BRF Rotundan 5,1881.0,43345
52,702000-2486,BF No 3 U P A,,80412
53,702000-2494,BRF Komedianten 1,1880.0,75848
54,702000-2502,BRF nr 1 UPA,,83309
55,702000-2510,BRF Komedianten 6,1879.0,272900
56,702000-2569,BRF Brahe,1880.0,273071
57,702000-2577,BRF Brandstationen 17,,57583
58,702000-2619,BRF Brickbandet,,43830
59,702000-2718,BRF Brunfisken Nr 17,1943.0,79016
60,702000-2783,BRF Brunkeberg,1900.0,46757
61,702000-2866,BF Buketten N:R 6 Upa,,266846
62,702000-2874,BF Bulten u.p.a.,1925.0,80317
63,702000-3054,BF Båten N:r 1,1923.0,267222
64,702000-3062,BRF Båtsmannen 25,2011.0,270234
65,702000-3088,HSB BRF Bäckahästen i Stockholm,1937.0,78981
66,702000-3104,BRF Bäcken i Stockholm,1950.0,76599
67,702000-3146,BF Bävern upa,1881.0,45281
68,702000-3153,Bf Bävern 7 u.p.a.,1882.0,276518
69,702000-3161,HSB BRF Bävern i Stockholm,1927.0,44764
